label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Get ready,24.5325,935.6043956043956,12220,1080,-8568,2.7
Get ready,24.595,727.9120879120879,16988,3740,-560,2.7
Get ready,28.095,532.7472527472529,15556,3172,644,2.7
Get ready,29.72,535.3846153846154,15804,3316,-1372,2.7
Get ready,30.2825,538.6813186813187,15788,4440,548,2.7
Get ready,30.9075,523.5164835164835,15808,3260,464,2.7
Get ready,31.1575,528.7912087912088,15856,3140,292,2.7
Get ready,31.47,536.0439560439562,15764,2772,464,2.7
Get ready,31.7825,540.0,15780,3144,616,2.7
Get ready,31.9075,534.7252747252749,15716,3108,516,2.7
Get ready,32.1725,526.3492063492064,15828,3072,580,2.6
Get ready,32.2975,518.7301587301588,15844,2952,440,2.6
Get ready,32.485,524.4444444444445,15792,3004,344,2.6
Get ready,32.485,511.1111111111111,16200,2208,648,2.6
Get ready,32.985,520.6349206349206,15632,2492,864,2.6
Get ready,32.9225,526.3492063492064,15612,3316,1216,2.6
Get ready,32.985,524.4444444444445,15524,3160,780,2.6
Get ready,33.1725,518.0952380952381,15812,3036,476,2.6
Get ready,33.235,528.2539682539684,15712,3056,412,2.6
Get ready,33.235,529.5238095238095,15816,2992,412,2.6
Get ready,33.61,532.6984126984127,15840,2924,388,2.6
Get ready,33.485,529.5238095238095,15836,2904,308,2.6
Get ready,33.235,532.063492063492,15536,3248,364,2.6
Get ready,33.5475,535.2380952380952,16156,3324,140,2.6
Get ready,33.6725,533.968253968254,15916,2840,496,2.6
unknown,33.7975,531.4285714285716,15892,2744,604,2.6
unknown,33.7975,528.2539682539684,15780,2980,392,2.6
unknown,33.735,529.5238095238095,15776,2840,332,2.6
unknown,33.9225,534.6031746031747,15900,2972,304,2.6
unknown,33.9225,533.968253968254,15860,2948,256,2.6
Mouth closed,33.9225,533.3333333333334,15784,2940,96,2.6
Mouth closed,33.86,540.9523809523811,15836,2964,40,2.6
Mouth closed,34.11,544.1269841269842,15844,2788,-8,2.6
Mouth closed,34.11,542.2222222222222,15816,2812,4,2.6
Mouth closed,34.1725,540.3174603174604,15840,2936,-164,2.6
Mouth closed,33.985,541.5873015873016,15808,2940,-188,2.6
Mouth closed,34.11,544.1269841269842,15824,2812,-200,2.6
Mouth closed,34.0475,542.2222222222222,15832,2764,-284,2.6
Mouth closed,34.1725,543.4920634920635,15848,2912,-276,2.6
Mouth closed,34.4225,544.7619047619048,15776,2768,-316,2.6
unknown,34.235,540.3174603174604,15820,2860,-380,2.6
unknown,34.235,521.2698412698413,15856,2900,-368,2.6
unknown,34.4225,746.031746031746,15952,2824,-1660,2.6
unknown,34.5475,853.968253968254,15332,2632,-3252,2.6
unknown,34.485,866.031746031746,15572,2584,-3164,2.6
Mouth open,34.4375,838.2173382173382,15608,2696,-3024,2.5
Mouth open,34.625,842.4908424908425,15468,2760,-2940,2.5
Mouth open,34.5,845.5433455433456,15540,2656,-2948,2.5
Mouth open,34.5625,838.8278388278388,15740,2712,-2768,2.5
Mouth open,34.5,843.1013431013431,15460,2764,-2796,2.5
Mouth open,34.5625,843.7118437118437,15636,2768,-2712,2.5
Mouth open,34.5625,840.6593406593406,15464,2716,-2504,2.5
Mouth open,34.75,840.04884004884,15556,2788,-2532,2.5
Mouth open,34.625,843.1013431013431,15624,2812,-2432,2.5
Mouth open,34.6875,849.2063492063492,15600,2728,-2440,2.5
unknown,34.8125,836.3858363858363,15572,2800,-2492,2.5
unknown,34.5625,843.1013431013431,15592,2808,-2464,2.5
unknown,34.4375,828.4493284493285,16200,3096,-2536,2.5
unknown,34.625,521.3675213675214,15788,2868,-668,2.5
unknown,34.6875,518.3150183150183,15800,2940,-704,2.5
Mouth closed,34.75,521.978021978022,15828,2944,-732,2.5
Mouth closed,34.5625,523.8095238095239,15860,2924,-788,2.5
Mouth closed,34.5625,527.4725274725274,15764,2916,-812,2.5
Mouth closed,34.8125,523.8095238095239,15736,3016,-816,2.5
Mouth closed,34.9375,524.4200244200244,15756,2972,-800,2.5
Mouth closed,34.75,523.8095238095239,15692,3028,-824,2.5
Mouth closed,34.625,532.967032967033,15740,3012,-808,2.5
Mouth closed,34.75,528.6935286935287,15744,2960,-868,2.5
Mouth closed,34.75,531.7460317460317,15728,2860,-788,2.5
Mouth closed,34.75,529.9145299145299,15820,3004,-780,2.5
unknown,34.75,525.6410256410256,15752,2920,-792,2.5
unknown,34.75,526.2515262515262,15836,3000,-756,2.5
unknown,34.6875,531.1355311355311,15824,2860,-892,2.5
unknown,34.875,829.6703296703297,15520,2648,-3060,2.5
unknown,34.75,829.0598290598291,15392,2724,-2920,2.5
Mouth open,35.0,821.1233211233211,15512,2804,-2876,2.5
Mouth open,34.8125,821.7338217338217,15464,2708,-2744,2.5
Mouth open,34.875,822.9548229548229,15660,2732,-2604,2.5
Mouth open,34.8125,819.2918192918193,15588,2896,-2428,2.5
Mouth open,34.8125,813.7973137973138,15532,2948,-2128,2.5
Mouth open,34.75,813.1868131868132,15592,2916,-2204,2.5
Mouth open,34.9525,781.2454212454212,15584,2968,-2172,2.4
Mouth open,35.015,775.9706959706959,15616,2892,-2104,2.4
Mouth open,34.89,774.2124542124542,15692,2656,-2060,2.4
Mouth open,34.9525,777.7289377289376,15604,2976,-2028,2.4
unknown,34.89,777.1428571428571,15600,2944,-2104,2.4
unknown,34.89,784.7619047619048,15600,2936,-1952,2.4
unknown,34.89,780.6593406593405,15584,2780,-2068,2.4
unknown,35.015,522.1978021978022,15704,3080,-768,2.4
unknown,35.3275,529.2307692307693,15868,2692,-744,2.4
Mouth closed,35.0775,523.3699633699633,15692,3048,-1084,2.4
Mouth closed,35.0775,523.3699633699633,15732,3116,-812,2.4
Mouth closed,35.015,527.4725274725274,15744,2908,-1044,2.4
Mouth closed,35.265,528.0586080586081,15800,3048,-936,2.4
Mouth closed,35.14,523.3699633699633,15712,3072,-1148,2.4
Mouth closed,35.0775,527.4725274725274,15804,3064,-916,2.4
Mouth closed,35.14,529.2307692307693,15836,2996,-784,2.4
Mouth closed,35.0775,531.5750915750915,15856,2964,-936,2.4
Mouth closed,35.14,528.6446886446886,15724,3024,-980,2.4
