label,m_temp,m_pd,m_accel_x,m_accel_y,m_accel_z,m_vdda
Awake,27.11,520.6349206349206,-3288,4812,15548,2.6
Awake,36.36,487.61904761904765,15264,2480,5588,2.6
Awake,36.2975,495.23809523809524,14112,4076,7444,2.6
Awake,36.61,495.8730158730159,14284,4148,7300,2.6
Awake,36.4225,502.22222222222223,14324,3760,7464,2.6
Awake,36.875,465.2014652014652,14420,3524,7520,2.5
Awake,36.9375,468.25396825396825,14564,3320,7268,2.5
Awake,36.9375,467.64346764346766,14564,3332,7272,2.5
Core,37.0625,471.91697191697193,14632,3296,7144,2.5
Core,37.0,475.57997557997555,14700,3060,7156,2.5
Core,37.0,471.91697191697193,14672,3112,7100,2.5
Core,37.0625,473.74847374847377,14716,2972,6988,2.5
Core,37.0625,477.4114774114774,14556,3496,7232,2.5
Core,36.9375,483.5164835164835,148,-9804,12952,2.5
Core,37.0,481.07448107448107,244,-10052,12824,2.5
Core,36.9375,482.9059829059829,328,-10036,12788,2.5
Core,36.5625,492.06349206349205,436,-10056,12784,2.5
Core,36.875,487.1794871794872,432,-10112,12796,2.5
Awake,36.875,490.84249084249086,468,-10136,12732,2.5
Awake,36.875,493.2844932844933,488,-10176,12788,2.5
Awake,36.89,472.38095238095235,452,-10132,12692,2.4
Awake,36.64,475.31135531135527,492,-10152,12664,2.4
Core,36.9525,477.65567765567766,520,-10224,12776,2.4
Core,36.89,482.9304029304029,516,-10156,12684,2.4
Core,36.64,479.41391941391936,532,-10188,12708,2.4
Core,36.89,481.75824175824175,456,-10140,12684,2.4
Core,37.015,482.9304029304029,492,-10104,12756,2.4
Core,36.7025,483.5164835164835,532,-10092,12768,2.4
Core,36.765,487.6190476190476,532,-10112,12736,2.4
Core,36.64,488.2051282051282,524,-10124,12664,2.4
Core,36.8275,492.89377289377285,528,-10024,12808,2.4
Core,36.89,477.0695970695971,540,-10060,12772,2.4
Core,36.64,481.1721611721611,564,-10020,12740,2.4
Core,36.515,479.41391941391936,568,-10048,12788,2.4
Core,36.8275,485.86080586080584,552,-10044,12904,2.4
