Comment,Description,Designator,Footprint,LibRef,Quantity

"0.10µF","CAP CER 0.1UF 6.3V X5R 0402","C1, C3, C4","RESC1005X03N","GRM155R60J104KA01D","3"
"300pF","CAP CER 300PF 50V NP0 0402","C2","RESC1005X03N","GRM1555C1H301JA01D","1"
"CPH3225A","Supercapacitors / Ultracapacitors Reflow EDLC 3.3V, 11mF, 160 Ohm","C5, C6","CPH3225A","CPH3225A","2"
"1000pF","CAP CER 1000PF 16V X5R 0402","C7","CAPC1005X03N","GRM155R61C102KA01D","1"
"330pF","CAP CER 330PF 50V X7R 0402","C8","CAPC1005X03N","GRM155R71H331KA01J","1"
"100µF","CAP CER 100UF 2.5V X6S 0805","C9","CAPC2012X12N","GRM21BC80E107ME15L","1"
"47µF","CAP CER 47UF 6.3V X5R 0603","C10, C12","CAPC1608X12N","GRJ155R60J106ME11D","2"
"1µF","CAP CER 1UF 16V X5R 0402","C11","CAPC1005X03N","GRT155R61C105KE01D","1"
"FPC Connector","FFC / FPC Board Connector, 0.5 mm, 14 Contacts, Receptacle, Easy-On 52745, Surface Mount, Top","CN1","52745-1497","52745-1497","1"
"LPR6235-752SMRC","Gekoppelde smoorspoelen 7.5uH 75% 1.6A 316 Ohms 1:100","L1","LPR6235","LPR6235-752SMRC","1"
"47k","RES SMD 47K OHM 1% 1/10W 0402","R1, R2","CAPC1005X03N","ERJ-2RKF4702X","2"
"NHS3152UK","ARM-microcontrollers - MCU NTAG NHS3152 NFC","U1","WLCSP25","NHS3152UK","1"
"CY15B104QI-20LPXC","FRAM (Ferroelectric RAM) Memory IC 4Mbit SPI 20 MHz 8-GQFN (3.23x3.28)","U2","8-GQFN","CY15B104QI-20LPXC","1"
"LIS2DW12TR","ACCEL 2-16G I2C/SPI 12LGA","U3","FP-LGA12-DM00170568-MFG","CMP-12175-000006-1","1"
"LTC3108EDE#PBF","Ultralow Voltage Step-Up Converter and Power Manager, 12-pin SON (DE-12), -40 to 125 degC, Pb-Free","U4","LT-DE-12-05-08-1708_V","CMP-0473-00079-1","1"
