Comment,Description,Designator,Footprint,LibRef,Quantity

"SHF-105-01-L-D-TH","CONN HEADER VERT 10POS 1.27MM","J1","FP-SHF-105-01-L-D-TH-MFG","CMP-02766-000059-1","1"
"61302221121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 22 pins","J2","61302221121","CMP-1502-01108-1","1"
"52745-1497","0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Top Contact, 14 Circuits, -20 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J3","MOLX-52745-1497","CMP-1241-00360-1","1"
"150080SS75000","LED RED CLEAR 0805 SMD","LED1, LED2, LED3, LED4, LED5","FP-150080SS75000-MFG","CMP-1426-00010-2","5"
"61300511121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins","P1","61300511121","CMP-1502-01068-1","1"
"61300211121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 2 pins","P2, P4, P5, P6","61300211121","CMP-1712-00002-4","4"
"61300311121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 3 pins","P3, P7, P8","61300311121","CMP-1502-01062-1","3"
"BSS138","MOSFET N-CH 50V 220MA SOT-23","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10","FP-318-08-IPC_B","CMP-07173-000101-1","10"
"2k","RES SMD 2K OHM 1% 1/8W 0805","R1, R2, R4, R16, R18","RESC2012X06N","ERJ-6ENF2001V","5"
"100","RES SMD 100 OHM 1% 1/8W 0805","R3, R5, R10, R11, R17, R19","RESC2012X06N","ERJ-6ENF1000V","6"
"10k","RES SMD 10K OHM 1% 1/8W 0805","R6, R7, R8, R9, R12, R13, R14, R15","RESC2012X06N","ERJ-6ENF1002V","8"
"B3U-1000P","SWITCH TACTILE SPST-NO 0.05A 12V","SW1, SW2, SW3","FP-B3U-1000P-MFG","CMP-2100-03586-2","3"
"ASE4204","Pushbutton Switch SPST-NO Keyswitch, Illuminated Through Hole","SW4","FP-ASE4204-MFG","CMP-03405-000007-1","1"
"5011","Test Point, Black, Through Hole, RoHS, Bulk","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14","KSTN-5011_V","CMP-1672-00003-4","14"
"RPI Pico","","U1","RPI Pico","RPI Pico","1"
CP
